Name,Address,Types,Latitude,Longitude
Milo on the go,"205호, 530 Cheonho-daero, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.55773800000001,127.0769937
Bogmanlu,"43 Dongil-ro 18-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5394444,127.0652778
쉐프케이 아차산직영점,"22 Cheonho-daero 127-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5536793,127.0900531
라라면옥,"1층 101호, 라라면옥, 28-2 Achasan-ro 49-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5380426,127.0844737
"Slow, Cali","1 층 104 호, 375 Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5370474,127.0843546
Hansigdang,"29 Dongil-ro 24-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.54363379999999,127.0668279
Sushi Gallery,"-dong, 229-45 구의제1동 Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5442456,127.0903841
Song-rim Restaurant,"79 Jayangbeonyeong-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5366898,127.0764847
더젊은족발건대점,"31, Dongil-ro 22-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5422223,127.0660432
래빗홀 버거 Rabbithole Burger,"424, Gwangnaru-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5460307,127.0765504
라면 킹,"1층, 진's살롱 Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5599252,127.083958
서울간 촌닭,"8 Cheonho-daero 102-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5587064,127.074031
율식당,"1층, 한라아파트 상가동, 9 Ttukseom-ro 35-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5351157,127.0704011
꿀곱창,"305, Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5384185,127.0766657
Gwiepoomchan,"2층, 재성빌딩, 192 Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5415866,127.0649297
몽골맛 - 아이락하우스 (AiragHouse),"Seoul, Gwangjin-gu, Gueui-dong, 54-20 3th floor 서울특별시 광진구 천호대로, 681 3층, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5504465,127.090946
숯불부자곱창,"48 Achasan-ro 33-gil, Hwayang-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5423628,127.0709102
IKH몽골식당,"33-8 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5524065,127.0950751
마라전설 구의점,"1 층 103 호, 109 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5373796,127.0830368
고순당,"1 층, 176 Achasan-ro 78-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5478112,127.1081216
